number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
2587	Gardner	24	Themis	3.1745	nan	0.1549	nan	0.0240	nan	0.15	nan	11.63	nan	nan	nan	20.31	0.309	0.04915	0.000748	0.116	0.0109
2597	Arthur	nan	None	3.0056	nan	0.1217	nan	0.0076	nan	0.15	nan	12.04	nan	nan	nan	10.46	0.394	0.09557	0.003596	0.277	0.0341
2615	Saito	10	Hygiea	3.1740	nan	0.1472	nan	0.0884	nan	0.15	nan	12.57	nan	nan	nan	15.69	0.227	0.06331	0.000918	0.074	0.0073
2627	Churyumov	24	Themis	3.1132	nan	0.1527	nan	0.0231	nan	0.15	nan	12.22	nan	nan	nan	19.83	0.201	0.05037	0.000512	0.070	0.0025
2662	Kandinsky	44	Nysa	2.4390	nan	0.1627	nan	0.0593	nan	0.15	nan	14.03	nan	nan	nan	10.28	0.210	0.09609	0.001965	0.050	0.0072
2667	Oikawa	24	Themis	3.2081	nan	0.1767	nan	0.0255	nan	0.15	nan	12.03	nan	nan	nan	21.39	0.197	0.04660	0.000429	0.046	0.0044
2688	Halley	24	Themis	3.1572	nan	0.1612	nan	0.0379	nan	0.15	nan	11.82	nan	nan	nan	22.67	0.081	0.04388	0.000158	0.082	0.0071
2701	Cherson	nan	None	3.1699	nan	0.1362	nan	0.1116	nan	0.15	nan	12.63	nan	nan	nan	14.81	0.304	0.06751	0.001384	0.080	0.0116
2718	Handley	24	Themis	3.1127	nan	0.1504	nan	0.0221	nan	0.15	nan	11.90	nan	nan	nan	25.80	0.170	0.03853	0.000254	0.043	0.0020
2720	PyotrPervyj	44	Nysa	2.3303	nan	0.1618	nan	0.0436	nan	0.15	nan	14.21	nan	nan	nan	8.90	0.106	0.11209	0.001338	0.062	0.0061
2721	Vsekhsvyatskij	24	Themis	3.2187	nan	0.1640	nan	0.0191	nan	0.15	nan	12.32	nan	nan	nan	17.76	0.255	0.05625	0.000809	0.063	0.0129
2725	DavidBender	nan	None	3.0294	nan	0.1661	nan	0.2784	nan	0.15	nan	10.92	nan	nan	nan	39.13	0.302	0.02513	0.000194	0.065	0.0028
2728	Yatskiv	nan	None	2.4580	nan	0.1468	nan	0.0546	nan	0.15	nan	12.70	nan	nan	nan	14.73	0.087	0.06782	0.000399	0.066	0.0062
2753	Duncan	nan	None	2.7898	nan	0.0599	nan	0.1268	nan	0.15	nan	12.47	nan	nan	nan	19.34	0.079	0.05154	0.000209	0.051	0.0038
2755	Avicenna	nan	None	2.8488	nan	0.2155	nan	0.0949	nan	0.15	nan	13.43	nan	nan	nan	12.11	0.185	0.08225	0.001255	0.063	0.0099
2769	Mendeleev	24	Themis	3.1433	nan	0.1522	nan	0.0230	nan	0.15	nan	12.24	nan	nan	nan	20.69	1.269	0.04825	0.002935	0.061	0.0207
2772	Dugan	nan	None	2.3131	nan	0.2273	nan	0.1614	nan	0.15	nan	13.99	nan	nan	nan	9.58	0.135	0.10436	0.001471	0.057	0.0075
2773	Brooks	nan	None	2.3280	nan	0.1224	nan	0.0511	nan	0.15	nan	13.21	nan	nan	nan	13.37	0.100	0.07471	0.000558	0.042	0.0031
2793	Valdaj	702	Alauda	3.1640	nan	0.0758	nan	0.3781	nan	0.15	nan	11.50	nan	nan	nan	27.88	0.169	0.03558	0.000216	0.066	0.0038
2803	Vilho	24	Themis	3.1484	nan	0.1531	nan	0.0293	nan	0.15	nan	12.03	nan	nan	nan	21.11	0.222	0.04722	0.000496	0.073	0.0077
2817	Perec	nan	None	2.3578	nan	0.1388	nan	0.0574	nan	0.15	nan	14.00	nan	nan	nan	10.09	0.093	0.09893	0.000916	0.057	0.0049
2870	Haupt	44	Nysa	2.3921	nan	0.1732	nan	0.0570	nan	0.15	nan	13.02	nan	nan	nan	15.16	0.109	0.06501	0.000469	0.047	0.0028
