number	name	parent	parent_name	a_p	a_p_err	e_p	e_p_err	sin_i_p	sin_i_p_err	g	g_err	h	h_err	mass	mass_err	diameter	diameter_err	inverse_diameter	inverse_diameter_err	albedo	albedo_err
17733	1998BS1	nan	None	2.4545	nan	0.1451	nan	0.0796	nan	0.15	nan	13.98	nan	nan	nan	10.25	0.053	0.09713	0.000505	0.043	0.0034
17790	1998FN49	nan	None	2.9723	nan	0.0391	nan	0.2095	nan	0.15	nan	13.42	nan	nan	nan	11.39	0.183	0.08730	0.001404	0.042	0.0046
17829	1998HX32	nan	None	3.1650	nan	0.0812	nan	0.0983	nan	0.15	nan	13.17	nan	nan	nan	10.75	0.524	0.09293	0.004536	0.081	0.0117
17837	1998HQ92	nan	None	3.2373	nan	0.1220	nan	0.0192	nan	0.15	nan	13.75	nan	nan	nan	7.92	0.058	0.12634	0.000926	0.112	0.0158
18153	2000OC61	nan	None	3.1237	nan	0.2033	nan	0.2583	nan	0.15	nan	12.49	nan	nan	nan	17.78	0.158	0.05539	0.000492	0.065	0.0031
18168	2000PN28	nan	None	2.5611	nan	0.1782	nan	0.2841	nan	0.15	nan	14.12	nan	nan	nan	5.90	1.340	0.16949	0.038495	0.127	0.0690
18191	Rayhe	1726	Hoffmeister	2.7834	nan	0.0488	nan	0.0765	nan	0.15	nan	13.92	nan	nan	nan	10.86	0.390	0.09208	0.003307	0.045	0.0070
18262	5125T-2	nan	None	3.0625	nan	0.2265	nan	0.1764	nan	0.15	nan	13.80	nan	nan	nan	9.12	0.075	0.10968	0.000902	0.064	0.0083
18285	Vladplatonov	145	Adeona	2.6713	nan	0.1667	nan	0.2037	nan	0.15	nan	12.89	nan	nan	nan	15.73	0.103	0.06315	0.000414	0.063	0.0014
18354	1990RK5	nan	None	2.8620	nan	0.2351	nan	0.0980	nan	0.15	nan	14.35	nan	nan	nan	8.58	1.619	0.11376	0.021468	0.047	0.0173
18355	1990RN9	nan	None	2.6498	nan	0.1991	nan	0.2136	nan	0.15	nan	13.99	nan	nan	nan	10.21	0.199	0.09758	0.001901	0.057	0.0088
18461	Seiichikanno	170	Maria	2.6496	nan	0.1055	nan	0.2498	nan	0.15	nan	13.96	nan	nan	nan	6.56	0.153	0.14995	0.003513	0.060	0.0119
18490	1996BG17	668	Dora	2.7950	nan	0.1933	nan	0.1396	nan	0.15	nan	13.74	nan	nan	nan	9.60	1.205	0.10313	0.012942	0.062	0.0186
18614	1998DN2	4203	Brucato	2.6445	nan	0.0979	nan	0.4700	nan	0.15	nan	13.92	nan	nan	nan	9.46	0.152	0.10570	0.001694	0.042	0.0050
18690	1998GB10	nan	None	3.0355	nan	0.2288	nan	0.3954	nan	0.15	nan	13.24	nan	nan	nan	13.31	0.243	0.07514	0.001372	0.048	0.0048
18712	1998HN108	668	Dora	2.7719	nan	0.1945	nan	0.1372	nan	0.15	nan	13.44	nan	nan	nan	12.44	0.150	0.08040	0.000967	0.064	0.0065
18851	Winmesser	163	Erigone	2.3768	nan	0.2089	nan	0.0818	nan	0.15	nan	14.41	nan	nan	nan	7.61	0.072	0.13127	0.001237	0.053	0.0073
18889	2000CC28	145	Adeona	2.6527	nan	0.1684	nan	0.2019	nan	0.15	nan	13.32	nan	nan	nan	12.79	0.106	0.07808	0.000648	0.053	0.0078
18963	2000QB141	668	Dora	2.7908	nan	0.1960	nan	0.1367	nan	0.15	nan	13.41	nan	nan	nan	14.46	0.783	0.06875	0.003722	0.038	0.0077
19032	2053P-L	2782	Leonidas	2.6824	nan	0.1884	nan	0.0668	nan	0.15	nan	14.10	nan	nan	nan	8.34	0.299	0.11898	0.004261	0.075	0.0135
19223	1993QH8	24	Themis	3.1879	nan	0.1529	nan	0.0276	nan	0.15	nan	13.70	nan	nan	nan	9.25	0.179	0.10814	0.002093	0.082	0.0115
19254	1994VD7	702	Alauda	3.1604	nan	0.1004	nan	0.3697	nan	0.15	nan	12.81	nan	nan	nan	14.15	0.232	0.07065	0.001156	0.078	0.0043
19266	1995TF1	nan	None	2.6352	nan	0.1744	nan	0.2506	nan	0.15	nan	14.35	nan	nan	nan	7.27	0.273	0.13753	0.005164	0.076	0.0123
19327	1996XH19	nan	None	2.6301	nan	0.1767	nan	0.2614	nan	0.15	nan	13.37	nan	nan	nan	12.13	0.080	0.08230	0.000540	0.057	0.0048
19635	1999RC47	145	Adeona	2.6702	nan	0.1730	nan	0.2038	nan	0.15	nan	14.51	nan	nan	nan	6.99	0.145	0.14296	0.002972	0.072	0.0075
19639	1999RO63	nan	None	nan	nan	nan	nan	nan	nan	0.15	nan	13.93	nan	nan	nan	8.77	0.137	0.11400	0.001775	0.098	0.0225
19661	1999RR130	668	Dora	2.7825	nan	0.1951	nan	0.1353	nan	0.15	nan	13.30	nan	nan	nan	14.89	0.369	0.06697	0.001661	0.044	0.0059
19673	1999RR158	nan	None	3.1609	nan	0.2506	nan	0.2650	nan	0.15	nan	13.63	nan	nan	nan	13.10	0.100	0.07632	0.000582	0.027	0.0016
19714	1999UD	nan	None	2.2545	nan	0.1458	nan	0.1313	nan	0.15	nan	14.73	nan	nan	nan	3.26	0.879	0.30684	0.082760	0.200	0.0953
19720	1999VP10	668	Dora	2.7981	nan	0.1960	nan	0.1363	nan	0.15	nan	13.21	nan	nan	nan	13.78	0.067	0.07252	0.000351	0.052	0.0083
19728	1999XQ14	nan	None	2.4163	nan	0.1751	nan	0.4059	nan	0.15	nan	13.88	nan	nan	nan	10.68	0.079	0.09346	0.000691	0.056	0.0032
19730	Machiavelli	nan	None	3.1144	nan	0.3526	nan	0.4495	nan	0.15	nan	14.04	nan	nan	nan	9.68	0.109	0.10329	0.001169	0.059	0.0083
19747	2000AK245	nan	None	2.5723	nan	0.1696	nan	0.2675	nan	0.15	nan	13.57	nan	nan	nan	6.96	0.167	0.14317	0.003430	0.144	0.0184
19785	2000QU103	145	Adeona	2.6658	nan	0.1679	nan	0.2035	nan	0.15	nan	14.18	nan	nan	nan	8.11	1.135	0.11990	0.016786	0.055	0.0176
19862	2556P-L	3556	Lixiaohua	3.1604	nan	0.2003	nan	0.1774	nan	0.15	nan	13.53	nan	nan	nan	13.10	0.099	0.07626	0.000573	0.040	0.0046
19906	4138T-3	nan	None	3.1513	nan	0.1700	nan	0.3085	nan	0.15	nan	13.51	nan	nan	nan	11.72	0.162	0.08529	0.001178	0.047	0.0044
19970	Johannpeter	44	Nysa	2.3992	nan	0.1424	nan	0.0451	nan	0.15	nan	14.64	nan	nan	nan	7.26	0.056	0.13767	0.001059	0.052	0.0065
20367	Erikagibb	668	Dora	2.7980	nan	0.1936	nan	0.1365	nan	0.15	nan	14.13	nan	nan	nan	9.57	0.294	0.10432	0.003203	0.031	0.0045
20395	1998MY29	293	Brasilia	2.8554	nan	0.1266	nan	0.2577	nan	0.15	nan	12.62	nan	nan	nan	16.37	0.131	0.06103	0.000488	0.055	0.0075
20470	1999NZ5	nan	None	2.4181	nan	0.2383	nan	0.2116	nan	0.15	nan	13.83	nan	nan	nan	10.01	0.038	0.09976	0.000378	0.060	0.0041
20602	1999RC198	137	Meliboea	3.1329	nan	0.1922	nan	0.2667	nan	0.15	nan	12.15	nan	nan	nan	22.69	0.183	0.04295	0.000348	0.037	0.0012
20612	1999RT237	nan	None	3.1797	nan	0.0405	nan	0.1859	nan	0.15	nan	13.07	nan	nan	nan	9.73	0.297	0.10279	0.003138	0.141	0.0245
